Date,Return (%),Balance
1988-01-04,-1.912,9808.8
1988-01-05,-0.292,9780.13
1988-01-06,-2.187,9566.22
1988-01-07,-0.462,9522.04
1988-01-08,0.973,9614.72
1988-01-11,-2.393,9384.68
1988-01-12,0.585,9439.58
1988-01-13,0.52,9488.63
1988-01-14,-0.803,9412.4
1988-01-15,1.141,9519.75
1988-01-18,0.118,9530.95
1988-01-19,0.976,9623.93
1988-01-20,-1.338,9495.12
1988-01-21,-2.45,9262.51
1988-01-22,-0.642,9203.07
1988-01-25,-1.949,9023.72
1988-01-26,1.365,9146.87
1988-01-27,-0.494,9101.72
1988-01-28,-0.525,9053.97
1988-01-29,0.69,9116.47
1988-02-01,-1.286,8999.21
1988-02-02,-1.125,8897.97
1988-02-03,-0.499,8853.6
1988-02-04,-0.755,8786.75
1988-02-05,1.807,8945.5
1988-02-08,-0.607,8891.22
1988-02-09,-2.572,8662.53
1988-02-10,-0.78,8594.99
1988-02-11,-0.27,8571.75
1988-02-12,2.19,8759.51
1988-02-16,0.516,8804.68
1988-02-17,-0.282,8779.85
1988-02-18,2.334,8984.78
1988-02-19,1.355,9106.55
1988-02-22,0.23,9127.47
1988-02-23,1.459,9260.62
1988-02-24,2.281,9471.82
1988-02-25,-0.528,9421.85
1988-02-26,0.197,9440.44
1988-02-29,0.33,9471.56
1988-03-01,0.104,9481.45
1988-03-02,2.342,9703.48
1988-03-03,-0.383,9666.36
1988-03-04,-1.829,9489.55
1988-03-07,-0.344,9456.92
1988-03-08,0.061,9462.73
1988-03-09,-1.304,9339.36
1988-03-10,0.783,9412.49
1988-03-11,0.818,9489.44
1988-03-14,0.741,9559.72
1988-03-15,-1.37,9428.77
1988-03-16,-0.319,9398.68
1988-03-17,1.254,9516.56
1988-03-18,0.96,9607.93
1988-03-21,-0.636,9546.86
1988-03-22,-0.925,9458.53
1988-03-23,-2.153,9254.89
1988-03-24,0.83,9331.68
1988-03-25,0.532,9381.34
1988-03-28,-1.047,9283.15
1988-03-29,0.901,9366.81
1988-03-30,-0.243,9344.02
1988-03-31,-0.521,9295.32
1988-04-04,-0.079,9287.99
1988-04-05,-1.3,9167.21
1988-04-06,-0.982,9077.15
1988-04-07,-0.354,9045.02
1988-04-08,0.062,9050.66
1988-04-11,-1.82,8885.91
1988-04-12,-0.056,8880.92
1988-04-13,0.249,8903.03
1988-04-14,-1.081,8806.83
1988-04-15,1.251,8917
1988-04-18,0.249,8939.23
1988-04-19,1.075,9035.31
1988-04-20,0.748,9102.87
1988-04-21,-1.189,8994.62
1988-04-22,-0.105,8985.21
1988-04-25,0.01,8986.08
1988-04-26,0.537,9034.38
1988-04-27,2.141,9227.79
1988-04-28,-1.068,9129.22
1988-04-29,-1.008,9037.24
1988-05-02,0.538,9085.86
1988-05-03,0.114,9096.18
1988-05-04,0.408,9133.3
1988-05-05,0.093,9141.83
1988-05-06,1.162,9248.04
1988-05-09,0.4,9285.04
1988-05-10,-1.106,9182.36
1988-05-11,1.374,9308.49
1988-05-12,2.695,9559.38
1988-05-13,0.961,9651.28
1988-05-16,-0.072,9644.37
1988-05-17,-1.1,9538.32
1988-05-18,-2.194,9329.04
1988-05-19,0.536,9379.09
1988-05-20,-0.227,9357.77
1988-05-23,1.311,9480.42
1988-05-24,1.112,9585.86
1988-05-25,0.142,9599.48
1988-05-26,0.359,9633.95
1988-05-27,1.127,9742.5
1988-05-31,-0.096,9733.11
1988-06-01,1.476,9876.79
1988-06-02,0.593,9935.35
1988-06-03,-0.033,9932.05
1988-06-06,0.591,9990.77
1988-06-07,2.074,10197.98
1988-06-08,0.927,10292.56
1988-06-09,3.052,10606.74
1988-06-10,-0.2,10585.49
1988-06-13,-0.539,10528.42
1988-06-14,0.173,10546.62
1988-06-15,-0.006,10545.98
1988-06-16,0.851,10635.69
1988-06-17,0.355,10673.46
1988-06-20,1.935,10879.96
1988-06-21,-0.226,10855.36
1988-06-22,1.076,10972.11
1988-06-23,1.033,11085.4
1988-06-24,2.708,11385.64
1988-06-27,-0.219,11360.71
1988-06-28,0.346,11399.98
1988-06-29,0.525,11459.79
1988-06-30,0.915,11564.62
1988-07-01,1.162,11698.99
1988-07-05,-2.63,11391.34
1988-07-06,-0.566,11326.81
1988-07-07,-0.18,11306.44
1988-07-08,-1.174,11173.67
1988-07-11,-0.096,11162.9
1988-07-12,0.614,11231.43
1988-07-13,-1.336,11081.4
1988-07-14,-0.088,11071.63
1988-07-15,0.709,11150.11
1988-07-18,-0.829,11057.66
1988-07-19,-1.157,10929.76
1988-07-20,-1.468,10769.31
1988-07-21,-1.328,10626.34
1988-07-22,-1.643,10451.78
1988-07-25,0.124,10464.7
1988-07-26,-0.89,10371.52
1988-07-27,-1.732,10191.88
1988-07-28,-0.17,10174.51
1988-07-29,0.556,10231.08
1988-08-01,0.174,10248.93
1988-08-02,1.374,10389.73
1988-08-03,2.097,10607.58
1988-08-04,-0.838,10518.65
1988-08-05,2.145,10744.26
1988-08-08,-0.229,10719.68
1988-08-09,0.575,10781.3
1988-08-10,-0.308,10748.13
1988-08-11,-1.318,10606.46
1988-08-12,-1.12,10487.7
1988-08-15,1.046,10597.42
1988-08-16,0.864,10688.95
1988-08-17,-1.902,10485.65
1988-08-18,0.531,10541.28
1988-08-19,1.033,10650.17
1988-08-22,0.946,10750.91
1988-08-23,2.924,11065.24
1988-08-24,-2.326,10807.82
1988-08-25,0.248,10834.61
1988-08-26,0.983,10941.14
1988-08-29,0.763,11024.59
1988-08-30,2.35,11283.63
1988-08-31,0.007,11284.46
1988-09-01,1.326,11434.13
1988-09-02,-0.525,11374.05
1988-09-06,-0.26,11344.52
1988-09-07,-1.536,11170.22
1988-09-08,1.028,11285.04
1988-09-09,0.992,11397.02
1988-09-12,0.112,11409.84
1988-09-13,0.173,11429.55
1988-09-14,0.468,11483.06
1988-09-15,0.034,11486.99
1988-09-16,-0.164,11468.14
1988-09-19,-0.469,11414.38
1988-09-20,0.843,11510.65
1988-09-21,1.069,11633.65
1988-09-22,-0.342,11593.88
1988-09-23,1.552,11773.78
1988-09-26,0.646,11849.88
1988-09-27,-1.33,11692.31
1988-09-28,1.175,11829.68
1988-09-29,-1.316,11674.05
1988-09-30,-0.956,11562.42
1988-10-03,-0.365,11520.19
1988-10-04,0.205,11543.82
1988-10-05,-0.128,11529.06
1988-10-06,0.264,11559.5
1988-10-07,-0.725,11475.66
1988-10-10,-1.836,11264.92
1988-10-11,0.16,11282.95
1988-10-12,0.362,11323.77
1988-10-13,-1.6,11142.64
1988-10-14,0.334,11179.91
1988-10-17,0.007,11180.65
1988-10-18,0.462,11232.31
1988-10-19,-0.908,11130.31
1988-10-20,1.008,11242.47
1988-10-21,0.519,11300.87
1988-10-24,-0.364,11259.77
1988-10-25,-0.614,11190.62
1988-10-26,0.866,11287.54
