Index Level:,Net,,,"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational "
Currency:,USD,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
,,,,"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, "
Date,MSCI World Index,,,"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an "
1998-12-31,2293.188347,,,"""as is"" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries "
1999-01-29,2341.761883,,,"or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or "
1999-02-26,2278.619033,,,"creating the information (collectively, the ""MSCI Parties"") guarantees the accuracy and/or the completeness of any of this information."
1999-03-31,2375.125434,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
1999-04-30,2468.27197,,,"None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or"
1999-05-31,2379.499026,,,"ventity from any use of this information, and the user of this information assumes the entire risk of any use made of this information."
1999-06-30,2490.981139,,,"None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of "
1999-07-30,2482.319079,,,"merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, "
1999-08-31,2478.177099,,,"in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other "
1999-09-30,2453.869096,,,"damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA "
1999-10-29,2579.823865,,,and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data 
1999-11-30,2651.745934,,,are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.
1999-12-31,2865.406374,,,
2000-01-31,2699.69336,,,
2000-02-29,2706.533276,,,
2000-03-31,2894.793353,,,
2000-04-28,2772.357482,,,
2000-05-31,2703.658535,,,
2000-06-30,2794.429282,,,
2000-07-31,2714.669587,,,
2000-08-31,2803.392769,,,
2000-09-29,2653.677306,,,
2000-10-31,2607.929438,,,
2000-11-30,2449.046053,,,
2000-12-29,2487.613434,,,
2001-01-31,2535.516204,,,
2001-02-28,2320.953678,,,
2001-03-30,2168.116678,,,
2001-04-30,2327.938366,,,
2001-05-31,2297.602765,,,
2001-06-29,2225.292998,,,
2001-07-31,2195.548848,,,
2001-08-31,2089.840583,,,
2001-09-28,1905.413676,,,
2001-10-31,1941.797583,,,
2001-11-30,2056.379507,,,
2001-12-31,2069.098508,,,
2002-01-31,2006.204155,,,
2002-02-28,1988.558846,,,
2002-03-29,2076.154592,,,
2002-04-30,2005.58746,,,
2002-05-31,2008.931163,,,
2002-06-28,1886.694296,,,
2002-07-31,1727.499235,,,
2002-08-30,1730.449188,,,
2002-09-30,1539.926276,,,
2002-10-31,1653.394243,,,
2002-11-29,1742.286996,,,
2002-12-31,1657.635877,,,
2003-01-31,1607.120983,,,
2003-02-28,1578.993719,,,
2003-03-31,1573.782087,,,
2003-04-30,1713.248465,,,
2003-05-30,1810.790002,,,
2003-06-30,1841.900766,,,
2003-07-31,1879.089322,,,
2003-08-29,1919.456085,,,
2003-09-30,1931.008333,,,
2003-10-31,2045.404934,,,
2003-11-28,2076.320259,,,
2003-12-31,2206.42336,,,
2004-01-30,2241.827322,,,
2004-02-27,2279.367118,,,
2004-03-31,2264.241815,,,
2004-04-30,2217.867215,,,
2004-05-31,2238.073687,,,
2004-06-30,2284.019129,,,
2004-07-30,2209.445634,,,
2004-08-31,2219.157442,,,
2004-09-30,2261.138042,,,
2004-10-29,2316.469023,,,
2004-11-30,2438.155959,,,
2004-12-31,2531.227744,,,
2005-01-31,2474.239146,,,
2005-02-28,2552.617563,,,
2005-03-31,2503.067706,,,
2005-04-29,2448.52752,,,
2005-05-31,2492.031521,,,
2005-06-30,2513.595117,,,
2005-07-29,2601.399413,,,
2005-08-31,2621.001361,,,
2005-09-30,2689.077779,,,
2005-10-31,2623.838124,,,
2005-11-30,2711.263341,,,
2005-12-30,2771.330352,,,
2006-01-31,2895.079156,,,
2006-02-28,2890.769463,,,
2006-03-31,2954.334025,,,
2006-04-28,3044.029617,,,
2006-05-31,2940.049217,,,
2006-06-30,2939.186724,,,
2006-07-31,2957.530205,,,
2006-08-31,3034.299323,,,
2006-09-29,3070.479056,,,
2006-10-31,3183.174027,,,
2006-11-30,3261.123709,,,
2006-12-29,3327.426068,,,
2007-01-31,3366.707056,,,
2007-02-28,3349.187521,,,
2007-03-30,3410.495602,,,
2007-04-30,3560.942408,,,
2007-05-31,3660.680175,,,
2007-06-29,3632.44408,,,
2007-07-31,3551.99883,,,
2007-08-31,3549.303928,,,
2007-09-28,3718.092914,,,
2007-10-31,3832.132712,,,
2007-11-30,3675.491238,,,
2007-12-31,3628.072784,,,
