Index Level:,Net,,,"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational "
Currency:,USD,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
,,,,"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, "
Date,MSCI World Momentum Index,,,"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an "
1997-01-31,100,,,"""as is"" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries "
1997-02-28,100.3540662,,,"or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or "
1997-03-31,98.12610677,,,"creating the information (collectively, the ""MSCI Parties"") guarantees the accuracy and/or the completeness of any of this information."
1997-04-30,104.0708206,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
1997-05-30,109.4539743,,,"None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or"
1997-06-30,115.5582527,,,"ventity from any use of this information, and the user of this information assumes the entire risk of any use made of this information."
1997-07-31,124.3235214,,,"None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of "
1997-08-29,114.1616414,,,"merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, "
1997-09-30,123.275969,,,"in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other "
1997-10-31,116.9516341,,,"damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA "
1997-11-28,119.2469975,,,and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data 
1997-12-31,122.4016123,,,are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.
1998-01-30,125.9262663,,,
1998-02-27,134.2046483,,,
1998-03-31,143.1989013,,,
1998-04-30,146.5042162,,,
1998-05-29,146.5883672,,,
1998-06-30,152.1271548,,,
1998-07-31,158.2607306,,,
1998-08-31,133.9412243,,,
1998-09-30,133.2500904,,,
1998-10-30,143.0481486,,,
1998-11-30,153.2636767,,,
1998-12-31,167.9698175,,,
1999-01-29,175.9102524,,,
1999-02-26,169.3586028,,,
1999-03-31,174.6881539,,,
1999-04-30,173.6444662,,,
1999-05-31,168.1218918,,,
1999-06-30,180.5495143,,,
1999-07-30,179.9463442,,,
1999-08-31,179.2737179,,,
1999-09-30,180.2374426,,,
1999-10-29,192.3620747,,,
1999-11-30,206.5755457,,,
1999-12-31,244.1004771,,,
2000-01-31,228.7863197,,,
2000-02-29,247.7223685,,,
2000-03-31,256.7736584,,,
2000-04-28,238.3651963,,,
2000-05-31,220.3004184,,,
2000-06-30,232.6483301,,,
2000-07-31,223.2234584,,,
2000-08-31,236.8102686,,,
2000-09-29,210.711314,,,
2000-10-31,198.5440668,,,
2000-11-30,191.3910001,,,
2000-12-29,197.6482074,,,
2001-01-31,188.8859344,,,
2001-02-28,179.7593531,,,
2001-03-30,169.4640805,,,
2001-04-30,177.4343248,,,
2001-05-31,177.1398899,,,
2001-06-29,174.2199112,,,
2001-07-31,171.8426291,,,
2001-08-31,169.299104,,,
2001-09-28,154.797596,,,
2001-10-31,150.880667,,,
2001-11-30,154.0438287,,,
2001-12-31,156.4071185,,,
2002-01-31,155.10895,,,
2002-02-28,154.6965905,,,
2002-03-29,161.1622465,,,
2002-04-30,160.8337797,,,
2002-05-31,162.6453171,,,
2002-06-28,156.3223603,,,
2002-07-31,146.3229909,,,
2002-08-30,146.9488909,,,
2002-09-30,139.9223287,,,
2002-10-31,139.1248171,,,
2002-11-29,138.0419366,,,
2002-12-31,133.2569409,,,
2003-01-31,129.5547731,,,
2003-02-28,128.9351184,,,
2003-03-31,129.2324028,,,
2003-04-30,137.8421071,,,
2003-05-30,144.105805,,,
2003-06-30,145.4255581,,,
2003-07-31,147.4490712,,,
2003-08-29,149.4734393,,,
2003-09-30,151.0836296,,,
2003-10-31,159.8003992,,,
2003-11-28,161.6427102,,,
2003-12-31,167.1217585,,,
2004-01-30,169.0117054,,,
2004-02-27,172.3365483,,,
2004-03-31,178.9564095,,,
2004-04-30,172.9636403,,,
2004-05-31,174.7552355,,,
2004-06-30,180.2333065,,,
2004-07-30,172.729855,,,
2004-08-31,174.944634,,,
2004-09-30,180.6213243,,,
2004-10-29,183.8946301,,,
2004-11-30,197.3890228,,,
2004-12-31,201.9780132,,,
2005-01-31,199.5292818,,,
2005-02-28,215.5214965,,,
2005-03-31,210.7887432,,,
2005-04-29,201.9283747,,,
2005-05-31,207.8734218,,,
2005-06-30,216.7594311,,,
2005-07-29,226.2225123,,,
2005-08-31,233.3538568,,,
2005-09-30,244.8054345,,,
2005-10-31,234.7347046,,,
2005-11-30,242.7781682,,,
2005-12-30,258.1466959,,,
2006-01-31,277.6873957,,,
