Index Level:,Net,,,"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational "
Currency:,USD,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
,,,,"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, "
Date,MSCI World Quality Index,,,"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an "
1997-01-31,367.022554,,,""as is" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries "
1997-02-28,369.188274,,,or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or 
1997-03-31,357.332547,,,"creating the information (collectively, the "MSCI Parties") guarantees the accuracy and/or the completeness of any of this information."
1997-04-30,377.997906,,,purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to 
1997-05-30,397.451769,,,None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or
1997-06-30,416.316985,,,ventity from any use of this information, and the user of this information assumes the entire risk of any use made of this information.
1997-07-31,440.761642,,,None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of 
1997-08-29,412.548168,,,merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, 
1997-09-30,435.548856,,,in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other 
1997-10-31,419.832908,,,damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA 
1997-11-28,436.782377,,,and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data 
1997-12-31,443.196602,,,are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.
1998-01-30,459.233104,,,
1998-02-27,494.14546,,,
1998-03-31,516.930977,,,
1998-04-30,523.209587,,,
1998-05-29,517.218114,,,
1998-06-30,546.61201,,,
1998-07-31,549.972884,,,
1998-08-31,487.088646,,,
1998-09-30,515.247309,,,
1998-10-30,550.26081,,,
1998-11-30,589.845466,,,
1998-12-31,629.705452,,,
1999-01-29,653.227041,,,
1999-02-26,629.341407,,,
1999-03-31,650.719034,,,
1999-04-30,657.950204,,,
1999-05-31,640.595415,,,
1999-06-30,672.230493,,,
1999-07-30,660.001685,,,
1999-08-31,664.328515,,,
1999-09-30,646.130156,,,
1999-10-29,680.150077,,,
1999-11-30,704.768229,,,
1999-12-31,756.63806,,,
2000-01-31,712.383094,,,
2000-02-29,719.54629,,,
2000-03-31,771.752616,,,
2000-04-28,747.869586,,,
2000-05-31,722.883333,,,
2000-06-30,764.297304,,,
2000-07-31,739.046114,,,
2000-08-31,756.403286,,,
2000-09-29,707.514448,,,
2000-10-31,715.106711,,,
2000-11-30,678.45182,,,
2000-12-29,677.689174,,,
2001-01-31,682.908124,,,
2001-02-28,619.682149,,,
2001-03-30,576.625903,,,
2001-04-30,618.646659,,,
2001-05-31,614.218326,,,
2001-06-29,596.102597,,,
2001-07-31,602.068348,,,
2001-08-31,568.285076,,,
2001-09-28,534.517199,,,
2001-10-31,551.354189,,,
2001-11-30,586.117812,,,
2001-12-31,593.633204,,,
2002-01-31,589.850598,,,
2002-02-28,590.027812,,,
2002-03-29,604.513002,,,
2002-04-30,573.878856,,,
2002-05-31,563.425324,,,
2002-06-28,538.508626,,,
2002-07-31,499.712065,,,
2002-08-30,502.052608,,,
2002-09-30,459.955016,,,
2002-10-31,499.115834,,,
2002-11-29,512.709162,,,
2002-12-31,493.741755,,,
2003-01-31,475.790508,,,
2003-02-28,466.746639,,,
2003-03-31,472.743437,,,
2003-04-30,505.85301,,,
2003-05-30,527.361751,,,
2003-06-30,530.931458,,,
2003-07-31,528.025639,,,
2003-08-29,536.825125,,,
2003-09-30,539.266298,,,
2003-10-31,561.342618,,,
2003-11-28,569.262627,,,
2003-12-31,599.448013,,,
2004-01-30,601.581064,,,
2004-02-27,613.191656,,,
2004-03-31,602.858813,,,
2004-04-30,605.932255,,,
2004-05-31,610.486698,,,
2004-06-30,619.12892,,,
2004-07-30,602.816994,,,
2004-08-31,606.798616,,,
2004-09-30,613.286917,,,
2004-10-29,621.371787,,,
2004-11-30,646.428316,,,
2004-12-31,672.402659,,,
2005-01-31,662.169496,,,
2005-02-28,689.764466,,,
2005-03-31,678.710288,,,
2005-04-29,667.09159,,,
2005-05-31,679.318462,,,
2005-06-30,681.021288,,,
2005-07-29,699.662756,,,
2005-08-31,699.57973,,,
2005-09-30,707.607815,,,
2005-10-31,690.050959,,,
2005-11-30,706.52288,,,
2005-12-30,709.320475,,,
2006-01-31,734.293004,,,
2006-02-28,726.431062,,,
2006-03-31,741.168719,,,
2006-04-28,756.20475,,,
2006-05-31,734.510336,,,
2006-06-30,739.279925,,,
2006-07-31,747.721171,,,
2006-08-31,762.716719,,,
2006-09-29,764.585299,,,
2006-10-31,797.381621,,,
2006-11-30,817.655631,,,
2006-12-29,824.291171,,,
2007-01-31,825.866187,,,
2007-02-28,812.898182,,,
2007-03-30,834.236731,,,
2007-04-30,878.025474,,,
2007-05-31,905.229578,,,
2007-06-29,911.496964,,,
2007-07-31,899.873849,,,
2007-08-31,908.335908,,,
2007-09-28,961.964842,,,
2007-10-31,992.479016,,,
2007-11-30,961.273513,,,
2007-12-31,957.968399,,,
2008-01-31,877.498655,,,
2008-02-29,886.599043,,,
2008-03-31,872.134176,,,
2008-04-30,919.922995,,,
2008-05-30,941.565381,,,
2008-06-30,891.561422,,,
2008-07-31,863.969864,,,
2008-08-29,860.228285,,,
2008-09-30,765.448154,,,
2008-10-31,649.927648,,,
2008-11-28,620.370823,,,
2008-12-31,633.800768,,,
2009-01-30,596.609913,,,
2009-02-27,547.189622,,,
2009-03-31,588.175928,,,
2009-04-30,630.399506,,,
2009-05-29,684.903167,,,
2009-06-30,687.634245,,,
2009-07-31,732.964836,,,
2009-08-31,749.141028,,,
2009-09-30,775.555103,,,
2009-10-30,783.939851,,,
2009-11-30,824.122888,,,
2009-12-31,840.177731,,,
2010-01-29,808.925391,,,
2010-02-26,821.427612,,,
2010-03-31,860.296463,,,
2010-04-30,854.935039,,,
2010-05-31,776.866343,,,
2010-06-30,761.402097,,,
2010-07-30,808.518617,,,
2010-08-31,785.547343,,,
2010-09-30,859.574756,,,
2010-10-29,897.05344,,,
2010-11-30,881.456636,,,
2010-12-31,930.081346,,,
2011-01-31,939.32066,,,
2011-02-28,965.159301,,,
2011-03-31,964.602769,,,
2011-04-29,1014.283697,,,
2011-05-31,1008.584952,,,
2011-06-30,995.391034,,,
2011-07-29,991.428899,,,
2011-08-31,949.093276,,,
2011-09-30,888.531519,,,
2011-10-31,969.492322,,,
2011-11-30,961.450188,,,
2011-12-30,965.778062,,,
2012-01-31,1010.464632,,,
2012-02-29,1056.493619,,,
2012-03-30,1077.802619,,,
2012-04-30,1076.162663,,,
2012-05-31,1000,,,
2012-06-29,1041.77963,,,
2012-07-31,1062.622366,,,
2012-08-31,1085.213175,,,
2012-09-28,1112.244323,,,
2012-10-31,1090.353986,,,
2012-11-30,1101.773698,,,
2012-12-31,1091.796452,,,
2013-01-31,1142.45344,,,
2013-02-28,1149.696073,,,
2013-03-29,1177.096123,,,
2013-04-30,1205.140737,,,
2013-05-31,1216.330767,,,
2013-06-28,1183.112758,,,
2013-07-31,1236.175291,,,
2013-08-30,1213.379459,,,
2013-09-30,1259.798023,,,
2013-10-31,1314.304018,,,
2013-11-29,1355.887617,,,
2013-12-31,1387.267333,,,
2014-01-31,1327.197083,,,
2014-02-28,1396.583382,,,
2014-03-31,1396.386365,,,
2014-04-30,1419.173303,,,
2014-05-30,1443.989087,,,
2014-06-30,1460.655728,,,
2014-07-31,1444.252057,,,
2014-08-29,1492.915559,,,
2014-09-30,1463.919334,,,
2014-10-31,1492.523754,,,
2014-11-28,1528.075179,,,
2014-12-31,1504.427117,,,
2015-01-30,1484.233675,,,
2015-02-27,1563.581705,,,
2015-03-31,1532.791548,,,
2015-04-30,1557.942325,,,
2015-05-29,1569.863365,,,
2015-06-30,1531.643517,,,
2015-07-31,1577.088926,,,
2015-08-31,1476.069274,,,
2015-09-30,1455.528872,,,
2015-10-30,1581.404789,,,
2015-11-30,1579.303655,,,
2015-12-31,1560.256674,,,
2016-01-29,1493.61715,,,
2016-02-29,1489.571753,,,
2016-03-31,1582.357945,,,
2016-04-29,1567.371709,,,
2016-05-31,1586.825598,,,
2016-06-30,1575.379457,,,
2016-07-29,1651.584008,,,
2016-08-31,1641.033661,,,
2016-09-30,1651.28878,,,
2016-10-31,1598.045254,,,
2016-11-30,1602.656853,,,
2016-12-30,1631.299715,,,
2017-01-31,1663.813647,,,
2017-02-28,1735.015623,,,
2017-03-31,1760.471025,,,
2017-04-28,1795.725199,,,
2017-05-31,1854.552568,,,
2017-06-30,1834.371407,,,
2017-07-31,1861.929634,,,
2017-08-31,1883.478313,,,
2017-09-29,1918.937851,,,
2017-10-31,1977.82641,,,
2017-11-30,2030.219054,,,
2017-12-29,2054.833906,,,
2018-01-31,2160.763342,,,
2018-02-28,2090.72534,,,
2018-03-30,2056.099677,,,
2018-04-30,2046.795136,,,
2018-05-31,2102.550149,,,
2018-06-29,2103.614307,,,
2018-07-31,2177.817077,,,
2018-08-31,2245.946269,,,
2018-09-28,2250.588846,,,
2018-10-31,2084.2491,,,
2018-11-30,2093.604376,,,
2018-12-31,1941.789665,,,
2019-01-31,2087.97471,,,
2019-02-28,2182.232732,,,
2019-03-29,2246.745263,,,
2019-04-30,2329.941823,,,
2019-05-31,2184.518414,,,
2019-06-28,2335.500143,,,
2019-07-31,2373.990606,,,
2019-08-30,2337.319715,,,
2019-09-30,2371.963284,,,
2019-10-31,2454.483746,,,
2019-11-29,2549.816988,,,
2019-12-31,2642.409889,,,
2020-01-31,2657.046245,,,
2020-02-28,2451.214564,,,
2020-03-31,2237.962659,,,
2020-04-30,2487.959457,,,
2020-05-29,2628.925379,,,
2020-06-30,2676.823951,,,
2020-07-31,2801.048902,,,
2020-08-31,3001.980056,,,
2020-09-30,2924.143026,,,
2020-10-30,2815.158802,,,
2020-11-30,3114.181045,,,
2020-12-31,3229.11835,,,
2021-01-29,3161.414672,,,
2021-02-26,3199.701102,,,
2021-03-31,3321.581265,,,
2021-04-30,3494.533722,,,
2021-05-31,3548.016344,,,
2021-06-30,3677.985942,,,
2021-07-30,3808.523115,,,
2021-08-31,3932.60781,,,
2021-09-30,3680.293906,,,
2021-10-29,3928.795511,,,
2021-11-30,3906.645464,,,
2021-12-31,4057.642996,,,
2022-01-31,3732.36125,,,
2022-02-28,3590.417302,,,
2022-03-31,3712.533993,,,
2022-04-29,3383.33167,,,
2022-05-31,3347.694333,,,
2022-06-30,3085.493336,,,
2022-07-29,3347.70915,,,
2022-08-31,3151.586647,,,
2022-09-30,2865.300215,,,
2022-10-31,3049.030565,,,
2022-11-30,3301.191653,,,
2022-12-30,3156.613266,,,
2023-01-31,3351.441166,,,
2023-02-28,3265.830675,,,
2023-03-31,3489.304389,,,
2023-04-28,3563.979529,,,
2023-05-31,3624.670322,,,
2023-06-30,3827.549713,,,
2023-07-31,3949.410706,,,
2023-08-31,3911.338521,,,
2023-09-29,3716.245494,,,
2023-10-31,3651.649134,,,
2023-11-30,3983.241284,,,
2023-12-29,4179.049464,,,
2024-01-31,4298.278506,,,
2024-02-29,4546.41846,,,
2024-03-29,4662.67551,,,
2024-04-30,4482.922455,,,
2024-05-31,4755.798782,,,
2024-06-28,4927.385563,,,
2024-07-31,4908.169893,,,
2024-08-30,5091.570343,,,
2024-09-30,5114.430429,,,
2024-10-31,4959.947296,,,
2024-11-29,5105.374718,,,
2024-12-31,4949.739824,,,
2025-01-31,5142.118897,,,
2025-02-28,5098.855947,,,
2025-03-31,4811.580345,,,
2025-04-30,4842.745278,,,
2025-05-30,5065.5614,,,
2025-06-30,5254.062564,,,
2025-07-31,5245.642897,,,
2025-08-29,5370.334125,,,
2025-09-30,5543.604013,,,
2025-10-31,5656.192599,,,
2025-11-28,5734.264246,,,
2025-12-31,5768.205913,,,
2026-01-30,5961.039993,,,
2026-02-27,6029.539385,,,
2026-03-31,5554.943355,,,
2026-04-30,6052.83163,,,
2026-05-29,6277.54683,,,
2026-06-30,6307.877307,,,
2026-07-31,6262.345021,,,
