Index Level:,Net,,,"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational "
Currency:,USD,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
,,,,"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, "
Date,MSCI World Small Cap Index,,,"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an "
1998-12-31,80.233904,,,"""as is"" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries "
1999-01-29,80.329786,,,"or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or "
1999-02-26,76.762411,,,"creating the information (collectively, the ""MSCI Parties"") guarantees the accuracy and/or the completeness of any of this information."
1999-03-31,79.721626,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
1999-04-30,85.910154,,,"None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or"
1999-05-31,84.950874,,,"ventity from any use of this information, and the user of this information assumes the entire risk of any use made of this information."
1999-06-30,89.85842,,,"None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of "
1999-07-30,92.12212,,,"merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, "
1999-08-31,92.475132,,,"in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other "
1999-09-30,92.324434,,,"damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA "
1999-10-29,91.213519,,,and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data 
1999-11-30,95.148094,,,are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.
1999-12-31,101.874701,,,
2000-01-31,101.125847,,,
2000-02-29,113.39197,,,
2000-03-31,109.355456,,,
2000-04-28,101.623102,,,
2000-05-31,99.884818,,,
2000-06-30,107.419463,,,
2000-07-31,102.552308,,,
2000-08-31,109.663036,,,
2000-09-29,106.291324,,,
2000-10-31,101.267296,,,
2000-11-30,96.359207,,,
2000-12-29,100,,,
2001-01-31,103.70653,,,
2001-02-28,100.687812,,,
2001-03-30,95.11581,,,
2001-04-30,102.610441,,,
2001-05-31,103.716814,,,
2001-06-29,103.455268,,,
2001-07-31,100.016043,,,
2001-08-31,99.799468,,,
2001-09-28,86.699871,,,
2001-10-31,92.494668,,,
2001-11-30,98.313587,,,
2001-12-31,100.826952,,,
2002-01-31,98.752749,,,
2002-02-28,97.902321,,,
2002-03-29,105.498421,,,
2002-04-30,107.159446,,,
2002-05-31,106.851276,,,
2002-06-28,101.287022,,,
2002-07-31,90.269126,,,
2002-08-30,89.836015,,,
2002-09-30,83.023251,,,
2002-10-31,84.014167,,,
2002-11-29,88.744173,,,
2002-12-31,84.685208,,,
2003-01-31,83.177871,,,
2003-02-28,81.71916,,,
2003-03-31,81.849365,,,
2003-04-30,90.269984,,,
2003-05-30,99.668199,,,
2003-06-30,102.892388,,,
2003-07-31,107.010707,,,
2003-08-29,113.705885,,,
2003-09-30,115.810044,,,
2003-10-31,126.013463,,,
2003-11-28,128.265424,,,
2003-12-31,133.621962,,,
2004-01-30,139.358952,,,
2004-02-27,142.222235,,,
2004-03-31,146.17867,,,
2004-04-30,139.515234,,,
2004-05-31,140.108612,,,
2004-06-30,146.312112,,,
2004-07-30,138.767501,,,
2004-08-31,138.574681,,,
2004-09-30,143.628314,,,
2004-10-29,147.810467,,,
2004-11-30,159.581591,,,
2004-12-31,166.104854,,,
2005-01-31,163.994407,,,
2005-02-28,169.295632,,,
2005-03-31,165.364513,,,
2005-04-29,158.818857,,,
2005-05-31,163.720834,,,
2005-06-30,168.532385,,,
2005-07-29,177.256496,,,
2005-08-31,179.038717,,,
2005-09-30,183.564068,,,
2005-10-31,177.427148,,,
2005-11-30,184.637389,,,
2005-12-30,192.192229,,,
2006-01-31,206.733578,,,
2006-02-28,205.07389,,,
2006-03-31,214.600612,,,
2006-04-28,220.186032,,,
2006-05-31,207.830982,,,
2006-06-30,204.571923,,,
2006-07-31,198.851105,,,
2006-08-31,204.40242,,,
2006-09-29,205.065262,,,
2006-10-31,214.056222,,,
2006-11-30,221.501934,,,
2006-12-29,225.248351,,,
2007-01-31,229.332034,,,
2007-02-28,231.108157,,,
2007-03-30,236.823182,,,
2007-04-30,244.521327,,,
2007-05-31,250.775667,,,
2007-06-29,248.829612,,,
2007-07-31,240.545729,,,
2007-08-31,233.687886,,,
2007-09-28,238.526313,,,
2007-10-31,250.17914,,,
2007-11-30,231.244942,,,
2007-12-31,227.022062,,,
2008-01-31,209.016773,,,
2008-02-29,210.698493,,,
2008-03-31,208.571509,,,
2008-04-30,216.975392,,,
2008-05-30,224.786588,,,
2008-06-30,206.630186,,,
2008-07-31,202.918045,,,
