Index Level:,Net,,,"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational "
Currency:,USD,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
,,,,"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, "
Date,MSCI World Value Index,,,"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an "
1998-12-31,3315.522927,,,"""as is"" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries "
1999-01-29,3337.430974,,,"or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or "
1999-02-26,3295.583471,,,"creating the information (collectively, the ""MSCI Parties"") guarantees the accuracy and/or the completeness of any of this information."
1999-03-31,3450.839695,,,"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to "
1999-04-30,3726.50371,,,"None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or"
1999-05-31,3588.12605,,,"ventity from any use of this information, and the user of this information assumes the entire risk of any use made of this information."
1999-06-30,3708.331528,,,"None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of "
1999-07-30,3722.181561,,,"merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, "
1999-08-31,3667.566742,,,"in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other "
1999-09-30,3590.341947,,,"damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA "
1999-10-29,3724.908579,,,and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data 
1999-11-30,3711.989113,,,are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.
1999-12-31,3873.406176,,,
2000-01-31,3672.894655,,,
2000-02-29,3545.201699,,,
2000-03-31,3833.254132,,,
2000-04-28,3767.544082,,,
2000-05-31,3798.220825,,,
2000-06-30,3831.209847,,,
2000-07-31,3802.863979,,,
2000-08-31,3917.007835,,,
2000-09-29,3852.005544,,,
2000-10-31,3879.320947,,,
2000-11-30,3701.835137,,,
2000-12-29,3876.362102,,,
2001-01-31,3915.295465,,,
2001-02-28,3723.112073,,,
2001-03-30,3532.321973,,,
2001-04-30,3769.974531,,,
2001-05-31,3746.289164,,,
2001-06-29,3640.60196,,,
2001-07-31,3596.897031,,,
2001-08-31,3468.767546,,,
2001-09-28,3146.616407,,,
2001-10-31,3139.000576,,,
2001-11-30,3273.414403,,,
2001-12-31,3297.759488,,,
2002-01-31,3204.728002,,,
2002-02-28,3141.611237,,,
2002-03-29,3345.314642,,,
2002-04-30,3253.551596,,,
2002-05-31,3280.246723,,,
2002-06-28,3071.114356,,,
2002-07-31,2770.684226,,,
2002-08-30,2781.018129,,,
2002-09-30,2444.820868,,,
2002-10-31,2614.726015,,,
2002-11-29,2802.16881,,,
2002-12-31,2640.044043,,,
2003-01-31,2573.737041,,,
2003-02-28,2512.523573,,,
2003-03-31,2475.645334,,,
2003-04-30,2736.878441,,,
2003-05-30,2933.562094,,,
2003-06-30,2993.107817,,,
2003-07-31,3056.097696,,,
2003-08-29,3126.10778,,,
2003-09-30,3146.041093,,,
2003-10-31,3331.567024,,,
2003-11-28,3385.150991,,,
2003-12-31,3646.610131,,,
2004-01-30,3689.461956,,,
2004-02-27,3767.993637,,,
2004-03-31,3755.544826,,,
2004-04-30,3676.614627,,,
2004-05-31,3705.431322,,,
2004-06-30,3808.980264,,,
2004-07-30,3741.390564,,,
2004-08-31,3784.391629,,,
2004-09-30,3851.78787,,,
2004-10-29,3945.997654,,,
2004-11-30,4160.676576,,,
2004-12-31,4321.575497,,,
2005-01-31,4243.24829,,,
2005-02-28,4403.271064,,,
2005-03-31,4317.469027,,,
2005-04-29,4223.355289,,,
2005-05-31,4264.677265,,,
2005-06-30,4318.836275,,,
2005-07-29,4441.66663,,,
2005-08-31,4468.946116,,,
2005-09-30,4602.560489,,,
2005-10-31,4477.027215,,,
2005-11-30,4630.236146,,,
2005-12-30,4734.419579,,,
2006-01-31,4938.88019,,,
2006-02-28,4975.250723,,,
2006-03-31,5070.311615,,,
2006-04-28,5261.055807,,,
2006-05-31,5104.066252,,,
2006-06-30,5109.246931,,,
2006-07-31,5212.47726,,,
2006-08-31,5344.824124,,,
2006-09-29,5424.322914,,,
2006-10-31,5628.987522,,,
2006-11-30,5762.917743,,,
2006-12-29,5921.942514,,,
2007-01-31,5968.495657,,,
2007-02-28,5943.872174,,,
2007-03-30,6047.166944,,,
2007-04-30,6314.910273,,,
2007-05-31,6485.073244,,,
2007-06-29,6411.677126,,,
2007-07-31,6205.81491,,,
2007-08-31,6180.995869,,,
2007-09-28,6430.683334,,,
2007-10-31,6569.989402,,,
2007-11-30,6239.248865,,,
